E_1,E_2,E_3,E_4,E_5,Era_1,Era_2,Era_3,Era_4,Era_5,Erd_1,Erd_2,Erd_3,Erd_4,Erd_5,Erd_6,Erd_7,Erd_8,Erd_9,Erd_10,Erd_11,Erd_12,Erd_13,Erd_14,Erd_15,class1,class2,class3,class4
103.1717895,103.1250352,103.0870002,103.1598605,103.239375,0.999981762,0.999990266,0.99998422,0.999989007,0.999982847,1.51E-06,7.48E-07,1.42E-06,9.18E-07,1.35E-06,8.85E-06,3.51E-06,8.69E-06,4.37E-06,8.95E-06,5.50E-06,2.96E-06,3.99E-06,3.31E-06,4.65E-06,0,3,5,11
103.1614427,103.124426,103.0835287,103.0897123,103.1051118,0.999988347,0.999994146,0.999987151,0.999993281,0.999989087,1.03E-06,4.59E-07,1.05E-06,5.18E-07,9.90E-07,4.87E-06,1.00E-06,7.12E-06,1.60E-06,5.07E-06,3.20E-06,1.68E-06,3.09E-06,1.97E-06,2.38E-06,0,3,5,11
103.1999803,103.0773918,103.0799146,103.1837208,103.2700876,0.999979138,0.999984653,0.999975553,0.999982983,0.999980667,2.34E-06,1.98E-06,3.21E-06,2.19E-06,2.15E-06,9.81E-06,5.55E-06,1.07E-05,6.63E-06,9.28E-06,7.18E-06,6.36E-06,9.20E-06,6.71E-06,6.61E-06,0,3,5,11
103.1921541,103.1377523,103.1029578,103.1955485,103.1984847,0.99998161,0.999990344,0.999979697,0.999988188,0.999983626,1.33E-06,7.70E-07,1.68E-06,9.06E-07,1.22E-06,8.73E-06,3.84E-06,1.04E-05,5.16E-06,8.46E-06,7.87E-06,4.65E-06,7.87E-06,5.31E-06,6.25E-06,0,3,5,11
103.2002181,103.1126237,103.0940125,103.1418207,103.2757588,0.999980416,0.999988185,0.999984347,0.999985614,0.99998152,2.25E-06,1.34E-06,1.64E-06,1.67E-06,2.07E-06,8.49E-06,3.69E-06,6.67E-06,5.23E-06,8.50E-06,8.30E-06,6.32E-06,6.98E-06,7.00E-06,7.41E-06,0,3,5,11
103.1994683,103.120237,103.0962271,103.0579702,103.1491094,0.999986038,0.999989759,0.999982683,0.999989054,0.999986809,1.39E-06,1.10E-06,1.84E-06,1.27E-06,1.36E-06,5.34E-06,3.46E-06,9.16E-06,3.56E-06,5.02E-06,6.54E-06,5.09E-06,5.94E-06,5.52E-06,6.17E-06,0,3,5,11
103.1470027,103.0954471,103.0961899,103.1527975,103.2112144,0.999984243,0.999992004,0.999984819,0.999989989,0.99998533,1.63E-06,9.69E-07,1.83E-06,1.38E-06,1.54E-06,8.24E-06,3.18E-06,8.72E-06,4.48E-06,8.56E-06,5.64E-06,3.66E-06,4.39E-06,3.93E-06,4.33E-06,0,3,5,11
103.0719111,103.1242941,103.114167,102.9785773,103.1733912,0.999976034,0.999994557,0.99998945,0.999983706,0.999977158,1.41E-06,6.46E-07,1.21E-06,1.90E-06,1.37E-06,7.31E-06,2.44E-06,6.17E-06,6.53E-06,7.10E-06,1.50E-05,2.19E-06,2.98E-06,7.62E-06,1.41E-05,0,3,5,11
103.1628053,103.0953484,103.0579953,103.0179887,103.1108552,0.999985696,0.999993501,0.999982466,0.999984606,0.999986026,1.87E-06,1.12E-06,2.24E-06,2.64E-06,1.77E-06,6.68E-06,2.26E-06,1.01E-05,5.90E-06,7.12E-06,5.40E-06,2.86E-06,4.91E-06,6.57E-06,4.76E-06,0,3,5,11
103.1895772,103.117435,103.0819832,103.2706821,103.2219497,0.999987263,0.999993853,0.999983115,0.999992586,0.999987749,1.04E-06,5.02E-07,1.90E-06,6.62E-07,1.02E-06,6.95E-06,2.21E-06,1.13E-05,3.04E-06,6.79E-06,3.87E-06,2.49E-06,3.26E-06,2.81E-06,3.64E-06,0,3,5,11
