E_1,E_2,E_3,E_4,E_5,Era_1,Era_2,Era_3,Era_4,Era_5,Erd_1,Erd_2,Erd_3,Erd_4,Erd_5,Erd_6,Erd_7,Erd_8,Erd_9,Erd_10,Erd_11,Erd_12,Erd_13,Erd_14,Erd_15,class1,class2,class3,class4
0.021342496,0.021331594,0.021339298,0.02136072,0.021365145,0.999981762,0.999990266,0.99998422,0.999989007,0.999982847,1.51E-06,7.48E-07,1.42E-06,9.18E-07,1.35E-06,8.85E-06,3.51E-06,8.69E-06,4.37E-06,8.95E-06,5.50E-06,2.96E-06,3.99E-06,3.31E-06,4.65E-06,0,3,5,11
0.021340355,0.021331468,0.02133858,0.021346195,0.02133736,0.999988347,0.999994146,0.999987151,0.999993281,0.999989087,1.03E-06,4.59E-07,1.05E-06,5.18E-07,9.90E-07,4.87E-06,1.00E-06,7.12E-06,1.60E-06,5.07E-06,3.20E-06,1.68E-06,3.09E-06,1.97E-06,2.38E-06,0,3,5,11
0.021348327,0.021321739,0.021337831,0.02136566,0.021371501,0.999979138,0.999984653,0.999975553,0.999982983,0.999980667,2.34E-06,1.98E-06,3.21E-06,2.19E-06,2.15E-06,9.81E-06,5.55E-06,1.07E-05,6.63E-06,9.28E-06,7.18E-06,6.36E-06,9.20E-06,6.71E-06,6.61E-06,0,3,5,11
0.021346708,0.021334225,0.021342601,0.02136811,0.021356683,0.99998161,0.999990344,0.999979697,0.999988188,0.999983626,1.33E-06,7.70E-07,1.68E-06,9.06E-07,1.22E-06,8.73E-06,3.84E-06,1.04E-05,5.16E-06,8.46E-06,7.87E-06,4.65E-06,7.87E-06,5.31E-06,6.25E-06,0,3,5,11
0.021348377,0.021329027,0.02134075,0.021356984,0.021372675,0.999980416,0.999988185,0.999984347,0.999985614,0.99998152,2.25E-06,1.34E-06,1.64E-06,1.67E-06,2.07E-06,8.49E-06,3.69E-06,6.67E-06,5.23E-06,8.50E-06,8.30E-06,6.32E-06,6.98E-06,7.00E-06,7.41E-06,0,3,5,11
0.021348221,0.021330602,0.021341208,0.021339622,0.021346465,0.999986038,0.999989759,0.999982683,0.999989054,0.999986809,1.39E-06,1.10E-06,1.84E-06,1.27E-06,1.36E-06,5.34E-06,3.46E-06,9.16E-06,3.56E-06,5.02E-06,6.54E-06,5.09E-06,5.94E-06,5.52E-06,6.17E-06,0,3,5,11
0.021337368,0.021325474,0.0213412,0.021359257,0.021359317,0.999984243,0.999992004,0.999984819,0.999989989,0.99998533,1.63E-06,9.69E-07,1.83E-06,1.38E-06,1.54E-06,8.24E-06,3.18E-06,8.72E-06,4.48E-06,8.56E-06,5.64E-06,3.66E-06,4.39E-06,3.93E-06,4.33E-06,0,3,5,11
0.021321834,0.021331441,0.021344922,0.021323183,0.02135149,0.999976034,0.999994557,0.99998945,0.999983706,0.999977158,1.41E-06,6.46E-07,1.21E-06,1.90E-06,1.37E-06,7.31E-06,2.44E-06,6.17E-06,6.53E-06,7.10E-06,1.50E-05,2.19E-06,2.98E-06,7.62E-06,1.41E-05,0,3,5,11
0.021340637,0.021325454,0.021333294,0.021331343,0.021338548,0.999985696,0.999993501,0.999982466,0.999984606,0.999986026,1.87E-06,1.12E-06,2.24E-06,2.64E-06,1.77E-06,6.68E-06,2.26E-06,1.01E-05,5.90E-06,7.12E-06,5.40E-06,2.86E-06,4.91E-06,6.57E-06,4.76E-06,0,3,5,11
0.021346175,0.021330022,0.02133826,0.021383667,0.021361539,0.999987263,0.999993853,0.999983115,0.999992586,0.999987749,1.04E-06,5.02E-07,1.90E-06,6.62E-07,1.02E-06,6.95E-06,2.21E-06,1.13E-05,3.04E-06,6.79E-06,3.87E-06,2.49E-06,3.26E-06,2.81E-06,3.64E-06,0,3,5,11
0.021336277,0.021327916,0.021339678,0.021317079,0.021323349,0.999984308,0.999990866,0.999985255,0.999989197,0.999983893,1.81E-06,1.18E-06,1.62E-06,1.38E-06,1.79E-06,7.63E-06,2.29E-06,6.81E-06,3.28E-06,7.68E-06,4.90E-06,4.49E-06,5.50E-06,4.95E-06,5.44E-06,0,3,5,11
0.021347361,0.021331407,0.021341241,0.021368412,0.021346514,0.999987494,0.999993558,0.999983506,0.999988956,0.999987149,1.44E-06,8.53E-07,2.02E-06,1.30E-06,1.47E-06,5.04E-06,1.94E-06,8.84E-06,3.14E-06,5.28E-06,5.79E-06,3.48E-06,5.42E-06,6.40E-06,5.88E-06,0,3,5,11
0.021345421,0.021329193,0.021337623,0.021347698,0.021350113,0.999989086,0.999994313,0.999987558,0.999992406,0.999988894,9.40E-07,4.81E-07,1.10E-06,6.79E-07,9.69E-07,4.36E-06,8.95E-07,6.49E-06,2.13E-06,5.17E-06,2.29E-06,9.28E-07,2.77E-06,1.40E-06,1.87E-06,0,3,5,11
0.021341347,0.021328913,0.021339492,0.021348347,0.021348704,0.999986353,0.999992255,0.999986938,0.999991324,0.999987073,1.24E-06,6.19E-07,9.60E-07,7.29E-07,1.26E-06,3.81E-06,9.65E-07,6.71E-06,1.51E-06,3.92E-06,3.08E-06,7.00E-07,2.00E-06,9.91E-07,2.67E-06,0,3,5,11
0.021341234,0.021327316,0.021336463,0.021346203,0.021348397,0.999987345,0.999992318,0.999987177,0.999991174,0.999987282,1.33E-06,6.96E-07,1.20E-06,8.17E-07,1.27E-06,3.97E-06,9.10E-07,5.99E-06,1.65E-06,4.70E-06,1.95E-06,8.75E-07,2.17E-06,1.24E-06,1.83E-06,0,3,5,11
0.021335795,0.021328899,0.021340327,0.021349139,0.021335145,0.999983076,0.999995498,0.999987017,0.999994366,0.999983804,1.03E-06,4.65E-07,1.23E-06,4.61E-07,1.09E-06,8.70E-06,1.40E-06,6.39E-06,2.13E-06,9.18E-06,6.54E-06,1.89E-06,4.73E-06,2.30E-06,5.32E-06,0,3,5,11
0.021345582,0.021329003,0.021344659,0.021356354,0.021354707,0.999971479,0.999979306,0.999968719,0.999960328,0.999973229,4.66E-06,3.86E-06,4.49E-06,4.65E-06,4.38E-06,1.22E-05,8.46E-06,1.50E-05,1.30E-05,1.18E-05,9.21E-06,6.04E-06,9.68E-06,1.93E-05,8.28E-06,0,3,5,11
0.021358546,0.021330553,0.021340155,0.021377655,0.021381949,0.999986395,0.99998977,0.999982419,0.999888235,0.999985115,2.06E-06,1.64E-06,2.79E-06,1.27E-05,2.13E-06,5.80E-06,2.88E-06,9.64E-06,7.89E-05,6.16E-06,5.41E-06,5.44E-06,4.79E-06,1.90E-05,6.28E-06,0,3,5,11
0.021358604,0.021332807,0.021340776,0.021379967,0.02136184,0.999981121,0.999992129,0.99998318,0.999982657,0.999979544,1.60E-06,1.01E-06,2.19E-06,2.16E-06,1.54E-06,8.37E-06,3.01E-06,7.89E-06,6.22E-06,9.38E-06,8.64E-06,3.67E-06,6.45E-06,8.65E-06,9.28E-06,0,3,5,11
0.021356635,0.021331841,0.021343245,0.021361109,0.021373609,0.999983958,0.999988908,0.999981055,0.999989065,0.999984614,1.88E-06,1.48E-06,2.10E-06,1.53E-06,1.72E-06,7.48E-06,4.39E-06,8.72E-06,4.71E-06,7.23E-06,6.28E-06,4.92E-06,7.78E-06,4.38E-06,6.09E-06,0,3,5,11
0.021331596,0.021332594,0.021345466,0.021360793,0.021351271,0.99998855,0.999997,0.999994239,0.999995267,0.999987914,8.12E-07,2.89E-07,6.04E-07,7.02E-07,5.49E-07,2.88E-06,7.80E-07,3.53E-06,1.32E-06,2.61E-06,7.55E-06,1.89E-06,1.53E-06,2.50E-06,8.83E-06,0,3,5,11
0.021330884,0.021330616,0.021340168,0.021352937,0.021331406,0.999989386,0.999998848,0.999995447,0.999996538,0.999992247,1.24E-06,2.43E-07,4.84E-07,6.29E-07,8.02E-07,4.40E-06,4.04E-07,2.24E-06,1.37E-06,3.46E-06,4.67E-06,4.59E-07,1.75E-06,1.25E-06,3.34E-06,0,3,5,11
0.021327439,0.021327093,0.021340959,0.021348631,0.021334327,0.999985273,0.999998106,0.99998496,0.999995929,0.999985456,1.01E-06,1.37E-07,7.93E-07,4.78E-07,6.63E-07,6.56E-06,9.60E-07,8.19E-06,1.70E-06,7.29E-06,6.90E-06,7.57E-07,5.93E-06,1.77E-06,6.47E-06,0,3,5,11
0.021324692,0.021327431,0.021340524,0.021350653,0.021334228,0.999991206,0.999998636,0.999992043,0.999996709,0.999991626,5.98E-07,1.61E-07,6.18E-07,3.63E-07,5.13E-07,3.22E-06,7.15E-07,5.26E-06,1.32E-06,3.37E-06,4.78E-06,4.57E-07,1.98E-06,1.53E-06,4.38E-06,0,3,5,11
0.021344922,0.021344742,0.021366185,0.021357322,0.021356978,0.999991158,0.999998068,0.999988126,0.999996403,0.999991809,7.89E-07,2.25E-07,9.19E-07,4.46E-07,6.14E-07,4.03E-06,6.69E-07,5.48E-06,1.57E-06,4.13E-06,3.83E-06,9.91E-07,5.35E-06,1.45E-06,3.35E-06,0,3,5,11
0.021324321,0.021325948,0.02133946,0.021347238,0.021331024,0.999988995,0.999998015,0.999989683,0.999996879,0.999992399,8.07E-07,2.10E-07,7.82E-07,5.64E-07,5.20E-07,3.43E-06,9.70E-07,5.28E-06,1.35E-06,3.57E-06,6.52E-06,7.59E-07,4.13E-06,1.06E-06,3.39E-06,0,3,5,11
0.021324518,0.021328303,0.021345207,0.021347106,0.021336051,0.999990414,0.999998639,0.999992236,0.999996376,0.999992817,8.84E-07,1.48E-07,7.51E-07,3.99E-07,5.62E-07,2.40E-06,6.46E-07,4.63E-06,1.53E-06,3.28E-06,6.09E-06,5.33E-07,2.29E-06,1.57E-06,3.25E-06,0,3,5,11
0.021317119,0.021321974,0.021338466,0.021346538,0.021328087,0.999982304,0.999998488,0.999995193,0.999996174,0.999994452,1.10E-06,2.26E-07,4.65E-07,4.89E-07,4.65E-07,4.61E-06,4.62E-07,2.99E-06,1.62E-06,2.81E-06,1.17E-05,7.70E-07,1.27E-06,1.49E-06,2.14E-06,0,3,5,11
0.021317656,0.021325734,0.021341262,0.021348971,0.02133737,0.999985218,0.999997533,0.999984972,0.999995705,0.999986784,1.12E-06,2.31E-07,8.10E-07,6.01E-07,8.52E-07,5.62E-06,1.07E-06,1.00E-05,1.66E-06,7.03E-06,7.79E-06,1.11E-06,4.04E-06,1.87E-06,5.20E-06,0,3,5,11
0.021326328,0.021323261,0.021337055,0.021342276,0.021336519,0.999972611,0.999996428,0.999983473,0.999992611,0.999978036,1.78E-06,3.98E-07,1.31E-06,1.01E-06,9.03E-07,7.25E-06,7.44E-07,7.23E-06,2.27E-06,5.54E-06,1.77E-05,2.32E-06,7.81E-06,3.73E-06,1.53E-05,0,3,5,11
0.021318995,0.021308864,0.021323314,0.021327406,0.021317941,0.999985504,0.999997792,0.999993029,0.999994811,0.999991395,1.64E-06,3.33E-07,5.66E-07,9.43E-07,9.78E-07,6.48E-06,7.80E-07,4.02E-06,2.21E-06,3.87E-06,5.93E-06,1.00E-06,2.28E-06,1.65E-06,3.58E-06,0,3,5,11
0.021359867,0.021345401,0.021361617,0.021360215,0.021357235,0.999990407,0.999998387,0.999989716,0.999996996,0.999989679,1.12E-06,2.81E-07,8.52E-07,6.53E-07,6.87E-07,3.88E-06,7.28E-07,6.46E-06,1.13E-06,4.26E-06,4.25E-06,5.51E-07,2.86E-06,1.01E-06,5.23E-06,0,3,5,11
0.021323009,0.021326157,0.02134102,0.021349813,0.021333329,0.999993524,0.999998902,0.99999517,0.999997088,0.999993956,8.81E-07,1.86E-07,5.37E-07,3.35E-07,4.76E-07,2.47E-06,5.45E-07,2.80E-06,1.13E-06,2.34E-06,2.94E-06,3.32E-07,1.41E-06,1.36E-06,3.14E-06,0,3,5,11
0.021325829,0.021327368,0.021342359,0.021347257,0.021333042,0.999991131,0.999998664,0.999991106,0.999996894,0.999990647,8.57E-07,1.75E-07,6.42E-07,3.21E-07,6.48E-07,5.12E-06,5.18E-07,4.97E-06,1.10E-06,5.57E-06,2.75E-06,6.11E-07,3.19E-06,1.62E-06,3.04E-06,0,3,5,11
