solver, activation, hidden1, hidden1, PCA, class, training_accuracy, testing_accuracy
lbfgs, identity,15, 1, on, class1, 0.9094533029612756, 0.9113636363636364
lbfgs, identity,15, 1, on, class2, 0.7044419134396356, 0.759090909090909
lbfgs, identity,15, 1, on, class3, 0.45899772209567197, 0.4590909090909091
lbfgs, identity,15, 1, on, class4, 0.25968109339407747, 0.26136363636363635
lbfgs, identity,15, 1, off, class1, 0.9157175398633257, 0.8818181818181818
lbfgs, identity,15, 1, off, class2, 0.7357630979498861, 0.7136363636363636
lbfgs, identity,15, 1, off, class3, 0.47095671981776766, 0.4909090909090909
lbfgs, identity,15, 1, off, class4, 0.24829157175398633, 0.23863636363636365
lbfgs, identity,15, 15, on, class1, 0.9100227790432802, 0.9113636363636364
lbfgs, identity,15, 15, on, class2, 0.7198177676537585, 0.7113636363636363
lbfgs, identity,15, 15, on, class3, 0.5022779043280182, 0.5159090909090909
lbfgs, identity,15, 15, on, class4, 0.40945330296127563, 0.3977272727272727
lbfgs, identity,15, 15, off, class1, 0.9048974943052391, 0.9204545454545454
lbfgs, identity,15, 15, off, class2, 0.715261958997722, 0.7431818181818182
lbfgs, identity,15, 15, off, class3, 0.5159453302961275, 0.47045454545454546
lbfgs, identity,15, 15, off, class4, 0.4140091116173121, 0.35
lbfgs, identity,15, 25, on, class1, 0.9145785876993167, 0.9
lbfgs, identity,15, 25, on, class2, 0.7181093394077449, 0.7295454545454545
lbfgs, identity,15, 25, on, class3, 0.505125284738041, 0.509090909090909
lbfgs, identity,15, 25, on, class4, 0.4191343963553531, 0.4
lbfgs, identity,15, 25, off, class1, 0.9066059225512528, 0.9113636363636364
lbfgs, identity,15, 25, off, class2, 0.7266514806378133, 0.7272727272727273
lbfgs, identity,15, 25, off, class3, 0.5165148063781321, 0.4909090909090909
lbfgs, identity,15, 25, off, class4, 0.4123006833712984, 0.36363636363636365
lbfgs, identity,15, 30, on, class1, 0.912870159453303, 0.8977272727272727
lbfgs, identity,15, 30, on, class2, 0.7238041002277904, 0.7340909090909091
lbfgs, identity,15, 30, on, class3, 0.5165148063781321, 0.4954545454545455
lbfgs, identity,15, 30, on, class4, 0.42482915717539865, 0.3477272727272727
lbfgs, identity,15, 30, off, class1, 0.9145785876993167, 0.8954545454545455
lbfgs, identity,15, 30, off, class2, 0.714123006833713, 0.7227272727272728
lbfgs, identity,15, 30, off, class3, 0.5074031890660592, 0.5409090909090909
lbfgs, identity,15, 30, off, class4, 0.4202733485193622, 0.37727272727272726
lbfgs, identity,15, 40, on, class1, 0.9174259681093394, 0.8818181818181818
lbfgs, identity,15, 40, on, class2, 0.719248291571754, 0.7340909090909091
lbfgs, identity,15, 40, on, class3, 0.5091116173120729, 0.4909090909090909
lbfgs, identity,15, 40, on, class4, 0.42482915717539865, 0.3613636363636364
lbfgs, identity,15, 40, off, class1, 0.9071753986332574, 0.925
lbfgs, identity,15, 40, off, class2, 0.7329157175398633, 0.6818181818181818
lbfgs, identity,15, 40, off, class3, 0.5165148063781321, 0.4727272727272727
lbfgs, identity,15, 40, off, class4, 0.42425968109339407, 0.35454545454545455
lbfgs, identity,25, 1, on, class1, 0.9151480637813212, 0.8909090909090909
lbfgs, identity,25, 1, on, class2, 0.7351936218678815, 0.6931818181818182
lbfgs, identity,25, 1, on, class3, 0.47038724373576307, 0.4636363636363636
lbfgs, identity,25, 1, on, class4, 0.20501138952164008, 0.20909090909090908
lbfgs, identity,25, 1, off, class1, 0.9083143507972665, 0.9113636363636364
lbfgs, identity,25, 1, off, class2, 0.7232346241457859, 0.7181818181818181
lbfgs, identity,25, 1, off, class3, 0.46924829157175396, 0.45681818181818185
lbfgs, identity,25, 1, off, class4, 0.2437357630979499, 0.23863636363636365
lbfgs, identity,25, 15, on, class1, 0.9145785876993167, 0.9022727272727272
lbfgs, identity,25, 15, on, class2, 0.7175398633257403, 0.7477272727272727
lbfgs, identity,25, 15, on, class3, 0.5176537585421412, 0.4727272727272727
lbfgs, identity,25, 15, on, class4, 0.4083143507972665, 0.38636363636363635
lbfgs, identity,25, 15, off, class1, 0.912870159453303, 0.9113636363636364
lbfgs, identity,25, 15, off, class2, 0.7272209567198178, 0.7295454545454545
lbfgs, identity,25, 15, off, class3, 0.5136674259681093, 0.4409090909090909
lbfgs, identity,25, 15, off, class4, 0.42425968109339407, 0.3795454545454545
lbfgs, identity,25, 25, on, class1, 0.9134396355353075, 0.9022727272727272
lbfgs, identity,25, 25, on, class2, 0.7306378132118451, 0.7068181818181818
lbfgs, identity,25, 25, on, class3, 0.4977220956719818, 0.525
lbfgs, identity,25, 25, on, class4, 0.42312072892938496, 0.34545454545454546
lbfgs, identity,25, 25, off, class1, 0.9117312072892938, 0.8886363636363637
lbfgs, identity,25, 25, off, class2, 0.7175398633257403, 0.6931818181818182
lbfgs, identity,25, 25, off, class3, 0.5159453302961275, 0.4909090909090909
lbfgs, identity,25, 25, off, class4, 0.40774487471526194, 0.375
lbfgs, identity,25, 30, on, class1, 0.9083143507972665, 0.9136363636363637
lbfgs, identity,25, 30, on, class2, 0.7329157175398633, 0.7022727272727273
lbfgs, identity,25, 30, on, class3, 0.5074031890660592, 0.49772727272727274
lbfgs, identity,25, 30, on, class4, 0.42369020501138954, 0.3409090909090909
lbfgs, identity,25, 30, off, class1, 0.9060364464692483, 0.9136363636363637
lbfgs, identity,25, 30, off, class2, 0.7181093394077449, 0.725
lbfgs, identity,25, 30, off, class3, 0.5011389521640092, 0.5
lbfgs, identity,25, 30, off, class4, 0.42084282460136674, 0.36818181818181817
lbfgs, identity,25, 40, on, class1, 0.9117312072892938, 0.8977272727272727
lbfgs, identity,25, 40, on, class2, 0.7146924829157175, 0.7045454545454546
lbfgs, identity,25, 40, on, class3, 0.5113895216400911, 0.49318181818181817
lbfgs, identity,25, 40, on, class4, 0.41970387243735763, 0.3659090909090909
lbfgs, identity,25, 40, off, class1, 0.9123006833712984, 0.8977272727272727
lbfgs, identity,25, 40, off, class2, 0.7317767653758542, 0.6840909090909091
lbfgs, identity,25, 40, off, class3, 0.5227790432801822, 0.49318181818181817
lbfgs, identity,25, 40, off, class4, 0.4202733485193622, 0.3340909090909091
lbfgs, identity,30, 1, on, class1, 0.9105922551252847, 0.9181818181818182
lbfgs, identity,30, 1, on, class2, 0.739749430523918, 0.7068181818181818
lbfgs, identity,30, 1, on, class3, 0.46697038724373574, 0.4659090909090909
lbfgs, identity,30, 1, on, class4, 0.21753986332574032, 0.20454545454545456
lbfgs, identity,30, 1, off, class1, 0.9048974943052391, 0.9386363636363636
lbfgs, identity,30, 1, off, class2, 0.7300683371298405, 0.7204545454545455
lbfgs, identity,30, 1, off, class3, 0.46810933940774485, 0.47045454545454546
lbfgs, identity,30, 1, off, class4, 0.23405466970387243, 0.19772727272727272
lbfgs, identity,30, 15, on, class1, 0.9151480637813212, 0.8977272727272727
lbfgs, identity,30, 15, on, class2, 0.7232346241457859, 0.7431818181818182
lbfgs, identity,30, 15, on, class3, 0.510250569476082, 0.5
lbfgs, identity,30, 15, on, class4, 0.4145785876993166, 0.36363636363636365
lbfgs, identity,30, 15, off, class1, 0.9145785876993167, 0.8909090909090909
lbfgs, identity,30, 15, off, class2, 0.7175398633257403, 0.7113636363636363
lbfgs, identity,30, 15, off, class3, 0.5199316628701595, 0.48863636363636365
lbfgs, identity,30, 15, off, class4, 0.40945330296127563, 0.4
lbfgs, identity,30, 25, on, class1, 0.9100227790432802, 0.9181818181818182
lbfgs, identity,30, 25, on, class2, 0.7232346241457859, 0.6954545454545454
lbfgs, identity,30, 25, on, class3, 0.5130979498861048, 0.45
lbfgs, identity,30, 25, on, class4, 0.42084282460136674, 0.3340909090909091
lbfgs, identity,30, 25, off, class1, 0.914009111617312, 0.9
lbfgs, identity,30, 25, off, class2, 0.7300683371298405, 0.6795454545454546
lbfgs, identity,30, 25, off, class3, 0.5130979498861048, 0.48863636363636365
lbfgs, identity,30, 25, off, class4, 0.42084282460136674, 0.3477272727272727
lbfgs, identity,30, 30, on, class1, 0.9117312072892938, 0.9090909090909091
lbfgs, identity,30, 30, on, class2, 0.7209567198177677, 0.7022727272727273
lbfgs, identity,30, 30, on, class3, 0.5136674259681093, 0.475
lbfgs, identity,30, 30, on, class4, 0.417995444191344, 0.3522727272727273
lbfgs, identity,30, 30, off, class1, 0.908883826879271, 0.9159090909090909
lbfgs, identity,30, 30, off, class2, 0.7203872437357631, 0.7386363636363636
lbfgs, identity,30, 30, off, class3, 0.5148063781321185, 0.5113636363636364
lbfgs, identity,30, 30, off, class4, 0.41287015945330297, 0.4
lbfgs, identity,30, 40, on, class1, 0.9134396355353075, 0.9
lbfgs, identity,30, 40, on, class2, 0.7334851936218679, 0.6886363636363636
lbfgs, identity,30, 40, on, class3, 0.5056947608200456, 0.5
lbfgs, identity,30, 40, on, class4, 0.4191343963553531, 0.37272727272727274
